Code,Department,Expenditure Class,FY20 Actual,FY21 Adopted Budget,FY21 Current Target,FY22 Estimate,FY23 Estimate,FY24 Estimate,FY25 Estimate,FY26 Estimate
42ES,COMMERCE - ECONOMIC STIMULUS,class_200,5654666,3015000.0,3015000.0,3015000.0,13015000.0,13015000.0,13015000.0,13015000.0
42ES,COMMERCE - ECONOMIC STIMULUS,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42ES,COMMERCE - ECONOMIC STIMULUS,class_500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42ES,COMMERCE - ECONOMIC STIMULUS,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42ES,COMMERCE - ECONOMIC STIMULUS,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42ES,COMMERCE - ECONOMIC STIMULUS,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42ES,COMMERCE - ECONOMIC STIMULUS,total,5654666,3015000.0,3015000.0,3015000.0,13015000.0,13015000.0,13015000.0,13015000.0
69,DISTRICT ATTORNEY,class_100,38029618,30262904.0,36562904.0,36562904.0,36562904.0,36562904.0,36562904.0,36562904.0
69,DISTRICT ATTORNEY,class_200,3702006,2693738.0,3343738.0,3343738.0,3343738.0,3343738.0,3343738.0,3343738.0
69,DISTRICT ATTORNEY,class_300_400,636277,420017.0,525017.0,525017.0,525017.0,525017.0,525017.0,525017.0
69,DISTRICT ATTORNEY,class_500,2913759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,DISTRICT ATTORNEY,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,DISTRICT ATTORNEY,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,DISTRICT ATTORNEY,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,DISTRICT ATTORNEY,total,45281660,33376659.0,40431659.0,40431659.0,40431659.0,40431659.0,40431659.0,40431659.0
35,FINANCE,class_100,9222201,10312396.0,8917135.0,9869056.0,9843256.0,9942398.0,10044514.0,10044514.0
35,FINANCE,class_200,3044069,2626660.0,3021921.0,3439267.0,3532304.0,3777536.0,4103713.0,4478817.0
35,FINANCE,class_300_400,46241,35616.0,35616.0,35616.0,35616.0,35616.0,35616.0,35616.0
35,FINANCE,class_500,5690466,1250000.0,16495357.0,1415700.0,1900000.0,2400000.0,2700000.0,2400000.0
35,FINANCE,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,FINANCE,class_800,81285000,24500000.0,24500000.0,11360000.0,7730925.0,14174037.0,11665950.0,15352212.0
35,FINANCE,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,FINANCE,total,99287977,38724672.0,52970029.0,26119639.0,23042101.0,30329587.0,28549793.0,32311159.0
35RR,FINANCE-PANDEMIC RESERVE,class_100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35RR,FINANCE-PANDEMIC RESERVE,class_200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35RR,FINANCE-PANDEMIC RESERVE,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35RR,FINANCE-PANDEMIC RESERVE,class_500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35RR,FINANCE-PANDEMIC RESERVE,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35RR,FINANCE-PANDEMIC RESERVE,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35RR,FINANCE-PANDEMIC RESERVE,class_900,0,25000000.0,0.0,75000000.0,75000000.0,25000000.0,25000000.0,25000000.0
35RR,FINANCE-PANDEMIC RESERVE,total,0,25000000.0,0.0,75000000.0,75000000.0,25000000.0,25000000.0,25000000.0
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,class_100,1092451,2650000.0,2650000.0,2650000.0,2650000.0,2650000.0,2650000.0,2650000.0
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,class_200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,class_500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,total,1092451,2650000.0,2650000.0,2650000.0,2650000.0,2650000.0,2650000.0,2650000.0
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,class_100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,class_200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,class_500,36059207,44110159.0,44110159.0,48128075.0,50106653.0,50860996.0,50758698.0,50758698.0
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,total,36059207,44110159.0,44110159.0,48128075.0,50106653.0,50860996.0,50758698.0,50758698.0
35BS,FINANCE - BUDGET STABILIZATION RESERVE,class_100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35BS,FINANCE - BUDGET STABILIZATION RESERVE,class_200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35BS,FINANCE - BUDGET STABILIZATION RESERVE,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35BS,FINANCE - BUDGET STABILIZATION RESERVE,class_500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35BS,FINANCE - BUDGET STABILIZATION RESERVE,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
