Code,Department,Expenditure Class,FY21 Actual,FY22 Adopted Budget,FY22 Current Target,FY23 Estimate,FY24 Estimate,FY25 Estimate,FY26 Estimate,FY27 Estimate
35,FINANCE,class_500,24309220,16069700.0,18069700.0,7820000,3258000,3058000,2758000,2758000
35,FINANCE,class_700,0,0.0,0.0,0,0,0,0,0
35,FINANCE,class_800,20000000,11360000.0,11360000.0,5000000,10000000,7500000,7500000,7500000
35,FINANCE,class_900,0,0.0,0.0,0,0,0,0,0
35,FINANCE,total,56342371,41126320.0,43068283.0,27724771,29248056,27596259,28262316,28959641
35RR,FINANCE-RECESSION RESERVE,class_100,0,0.0,0.0,0,0,0,0,0
35RR,FINANCE-RECESSION RESERVE,class_200,0,0.0,0.0,0,0,0,0,0
35RR,FINANCE-RECESSION RESERVE,class_300_400,0,0.0,0.0,0,0,0,0,0
35RR,FINANCE-RECESSION RESERVE,class_500,0,0.0,0.0,0,0,0,0,0
35RR,FINANCE-RECESSION RESERVE,class_700,0,0.0,0.0,0,0,0,0,0
35RR,FINANCE-RECESSION RESERVE,class_800,0,0.0,0.0,0,0,0,0,0
35RR,FINANCE-RECESSION RESERVE,class_900,0,75000000.0,0.0,32000000,32000000,32000000,37000000,32000000
35RR,FINANCE-RECESSION RESERVE,total,0,75000000.0,0.0,32000000,32000000,32000000,37000000,32000000
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,class_100,2167137,2293165.0,2293165.0,2800000,2800000,2800000,2800000,2800000
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,class_200,0,0.0,0.0,0,0,0,0,0
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,class_300_400,0,0.0,0.0,0,0,0,0,0
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,class_500,0,0.0,0.0,0,0,0,0,0
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,class_700,0,0.0,0.0,0,0,0,0,0
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,class_800,0,0.0,0.0,0,0,0,0,0
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,class_900,0,0.0,0.0,0,0,0,0,0
35REG,FINANCE-DISABILITY-REG #32 PAYROLL,total,2167137,2293165.0,2293165.0,2800000,2800000,2800000,2800000,2800000
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,class_100,0,0.0,0.0,0,0,0,0,0
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,class_200,0,0.0,0.0,0,0,0,0,0
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,class_300_400,0,0.0,0.0,0,0,0,0,0
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,class_500,41628751,48128075.0,48128075.0,50106653,50860996,50860996,50860996,50860996
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,class_700,0,0.0,0.0,0,0,0,0,0
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,class_800,0,0.0,0.0,0,0,0,0,0
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,class_900,0,0.0,0.0,0,0,0,0,0
35CC,FINANCE - COMMUNITY COLLEGE SUBSIDY,total,41628751,48128075.0,48128075.0,50106653,50860996,50860996,50860996,50860996
35BS,FINANCE - BUDGET STABILIZATION RESERVE,class_100,0,0.0,0.0,0,0,0,0,0
35BS,FINANCE - BUDGET STABILIZATION RESERVE,class_200,0,0.0,0.0,0,0,0,0,0
35BS,FINANCE - BUDGET STABILIZATION RESERVE,class_300_400,0,0.0,0.0,0,0,0,0,0
35BS,FINANCE - BUDGET STABILIZATION RESERVE,class_500,0,0.0,0.0,0,0,0,0,0
35BS,FINANCE - BUDGET STABILIZATION RESERVE,class_700,0,0.0,0.0,0,0,0,0,0
35BS,FINANCE - BUDGET STABILIZATION RESERVE,class_800,0,0.0,0.0,40128000,41604000,43208000,41146000,0
35BS,FINANCE - BUDGET STABILIZATION RESERVE,class_900,0,0.0,0.0,0,0,0,0,0
35BS,FINANCE - BUDGET STABILIZATION RESERVE,total,0,0.0,0.0,40128000,41604000,43208000,41146000,0
35EB,FINANCE - EMPLOYEE BENEFITS,class_100,1270300692,1438592740.0,1504836775.0,1603509081,1651248845,1700271513,1749776524,1781759950
35EB,FINANCE - EMPLOYEE BENEFITS,class_200,0,0.0,0.0,0,0,0,0,0
35EB,FINANCE - EMPLOYEE BENEFITS,class_300_400,0,0.0,0.0,0,0,0,0,0
35EB,FINANCE - EMPLOYEE BENEFITS,class_500,0,0.0,0.0,0,0,0,0,0
35EB,FINANCE - EMPLOYEE BENEFITS,class_700,0,0.0,0.0,0,0,0,0,0
35EB,FINANCE - EMPLOYEE BENEFITS,class_800,0,0.0,0.0,0,0,0,0,0
35EB,FINANCE - EMPLOYEE BENEFITS,class_900,0,0.0,0.0,0,0,0,0,0
35EB,FINANCE - EMPLOYEE BENEFITS,total,1270300692,1438592740.0,1504836775.0,1603509081,1651248845,1700271513,1749776524,1781759950
35HA,FINANCE - HERO AWARDS,class_100,0,0.0,0.0,0,0,0,0,0
35HA,FINANCE - HERO AWARDS,class_200,0,0.0,0.0,0,0,0,0,0
35HA,FINANCE - HERO AWARDS,class_300_400,0,0.0,0.0,0,0,0,0,0
35HA,FINANCE - HERO AWARDS,class_500,0,25000.0,54000.0,50000,50000,50000,50000,50000
35HA,FINANCE - HERO AWARDS,class_700,0,0.0,0.0,0,0,0,0,0
35HA,FINANCE - HERO AWARDS,class_800,0,0.0,0.0,0,0,0,0,0
35HA,FINANCE - HERO AWARDS,class_900,0,0.0,0.0,0,0,0,0,0
35HA,FINANCE - HERO AWARDS,total,0,25000.0,54000.0,50000,50000,50000,50000,50000
35HTF,FINANCE - PAYMENT TO THE HOUSING TRUST FUND,class_100,0,0.0,0.0,0,0,0,0,0
35HTF,FINANCE - PAYMENT TO THE HOUSING TRUST FUND,class_200,0,0.0,0.0,0,0,0,0,0
35HTF,FINANCE - PAYMENT TO THE HOUSING TRUST FUND,class_300_400,0,0.0,0.0,0,0,0,0,0
35HTF,FINANCE - PAYMENT TO THE HOUSING TRUST FUND,class_500,0,0.0,0.0,0,0,0,0,0
35HTF,FINANCE - PAYMENT TO THE HOUSING TRUST FUND,class_700,0,0.0,0.0,0,0,0,0,0
35HTF,FINANCE - PAYMENT TO THE HOUSING TRUST FUND,class_800,0,0.0,0.0,29066068,29641432,29924591,30447336,30661492
35HTF,FINANCE - PAYMENT TO THE HOUSING TRUST FUND,class_900,0,0.0,0.0,0,0,0,0,0
35HTF,FINANCE - PAYMENT TO THE HOUSING TRUST FUND,total,0,0.0,0.0,29066068,29641432,29924591,30447336,30661492
35IN,FINANCE - INDEMNITIES,class_100,0,0.0,0.0,0,0,0,0,0
35IN,FINANCE - INDEMNITIES,class_200,0,0.0,0.0,0,0,0,0,0
35IN,FINANCE - INDEMNITIES,class_300_400,0,0.0,0.0,0,0,0,0,0
35IN,FINANCE - INDEMNITIES,class_500,-5535036,49246000.0,49246000.0,67246000,49246000,49246000,49246000,49246000
35IN,FINANCE - INDEMNITIES,class_700,0,0.0,0.0,0,0,0,0,0
35IN,FINANCE - INDEMNITIES,class_800,0,0.0,0.0,0,0,0,0,0
35IN,FINANCE - INDEMNITIES,class_900,0,0.0,0.0,0,0,0,0,0
35IN,FINANCE - INDEMNITIES,total,-5535036,49246000.0,49246000.0,67246000,49246000,49246000,49246000,49246000
35R,FINANCE - REFUNDS,class_100,0,0.0,0.0,0,0,0,0,0
35R,FINANCE - REFUNDS,class_200,0,0.0,0.0,0,0,0,0,0
35R,FINANCE - REFUNDS,class_300_400,0,0.0,0.0,0,0,0,0,0
35R,FINANCE - REFUNDS,class_500,14153,250000.0,250000.0,250000,250000,250000,250000,250000
35R,FINANCE - REFUNDS,class_700,0,0.0,0.0,0,0,0,0,0
35R,FINANCE - REFUNDS,class_800,0,0.0,0.0,0,0,0,0,0
35R,FINANCE - REFUNDS,class_900,0,0.0,0.0,0,0,0,0,0
35R,FINANCE - REFUNDS,total,14153,250000.0,250000.0,250000,250000,250000,250000,250000
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,class_100,0,0.0,0.0,0,0,0,0,0
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,class_200,0,0.0,0.0,0,0,0,0,0
